laureate_id,name,category,year,birth_location,birth_lat,birth_lon,work_location,work_lat,work_lon,notes
medicine_1966_383,Peyton Rous,medicine,1966,"Baltimore, MD, USA",39.291586,-76.625305,"New York, NY, USA",40.715758,-74.0113,
medicine_1967_387,George Wald,medicine,1967,"New York, NY, USA",40.715758,-74.0113,"Cambridge, MA, USA",42.374024,-71.107306,
medicine_1967_386,Haldan Keffer Hartline,medicine,1967,"Bloomsburg, PA, USA",41.0025,-76.458056,"New York, NY, USA",40.715758,-74.0113,
medicine_1967_385,Ragnar Granit,medicine,1967,"Helsinki, Russian Empire",60.167874,24.958234,"Stockholm, Sweden",59.325371,18.070794,
medicine_1968_389,Har Gobind Khorana,medicine,1968,"Raipur, India",21.251788,81.629678,"Madison, WI, USA",43.071835,-89.386688,
medicine_1968_390,Marshall W. Nirenberg,medicine,1968,"New York, NY, USA",40.715758,-74.0113,"Bethesda, MD, USA",38.984918,-77.093308,
medicine_1968_388,Robert W. Holley,medicine,1968,"Urbana, IL, USA",40.110863,-88.206265,"Ithaca, NY, USA",42.444089,-76.50095,
medicine_1969_392,Alfred D. Hershey,medicine,1969,"Owosso, MI, USA",42.997778,-84.176667,"Long Island, New York, NY, USA",40.789442,-73.135753,
medicine_1969_391,Max Delbrück,medicine,1969,"Berlin, Germany",52.522265,13.406852,"Pasadena, CA, USA",34.150071,-118.142111,
medicine_1969_393,Salvador E. Luria,medicine,1969,"Turin, Italy",45.071277,7.685561,"Cambridge, MA, USA",42.374024,-71.107306,
medicine_1970_396,Julius Axelrod,medicine,1970,"New York, NY, USA",40.715758,-74.0113,"Bethesda, MD, USA",38.984918,-77.093308,
medicine_1970_394,Sir Bernard Katz,medicine,1970,"Leipzig, Germany",51.339522,12.384015,"London, United Kingdom",51.510235,-0.120852,
medicine_1970_395,Ulf von Euler,medicine,1970,"Stockholm, Sweden",59.325371,18.070794,"Stockholm, Sweden",59.325371,18.070794,
medicine_1971_397,"Earl W. Sutherland, Jr.",medicine,1971,"Burlingame, KS, USA",38.750833,-95.835833,"Nashville, TN, USA",36.158474,-86.756442,
medicine_1972_398,Gerald M. Edelman,medicine,1972,"New York, NY, USA",40.715758,-74.0113,"New York, NY, USA",40.715758,-74.0113,
medicine_1972_399,Rodney R. Porter,medicine,1972,"Newton-le-Willows, United Kingdom",53.45,-2.633056,"Oxford, United Kingdom",51.753363,-1.260979,
medicine_1973_400,Karl von Frisch,medicine,1973,"Vienna, Austria",48.207646,16.372793,"Munich, Germany",48.134703,11.581995,
